Availability,Licence,OrphaCode,DisorderId,DisorderName,DisorderTypeId,DisorderType,DisorderGroupId,DisorderGroup,ExpertLink,PrevalenceListCount,PrevalenceGeographies,PrevalenceEntries
,,98895,13912,Becker muscular dystrophy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98895,13,Europe; United Kingdom; United Kingdom; United States; United States; Europe; Puerto rico; Worldwide; Italy; Egypt; Japan; South Africa; Ireland,7702|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|2.0|23795|Europe|25958|Validated|European Medicines Agency 2018[OTHER]; 7703|23683|Prevalence at birth|23711|Value and class|23746|1-9 / 100 000|2.7|25475|United Kingdom|25958|Validated|1673177[PMID]; 7704|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|3.64|25475|United Kingdom|25958|Validated|19767415[PMID]_24780148[PMID]_ORPHANET; 7705|23683|Prevalence at birth|23711|Value and class|23746|1-9 / 100 000|2.5|25482|United States|25958|Validated|12495984[PMID]; 7706|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|2.4|25482|United States|25965|Not yet validated|emedicine[OTHER]; 7707|23683|Prevalence at birth|23711|Value and class|23746|1-9 / 100 000|2.2|23795|Europe|25958|Validated|[EXPERT]; 12371|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|1.42|25097|Puerto rico|25958|Validated|DOI:10.3233/JND-160147[OTHER]; 11215|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|1.53|23844|Worldwide|25965|Not yet validated|24780148[PMID]; 11216|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|2.47|24607|Italy|25958|Validated|10466417[PMID]_24780148[PMID]; 11217|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|3.94|24299|Egypt|25958|Validated|16210862[PMID]_24780148[PMID]; 11218|23669|Point prevalence|23711|Value and class|23739|1-9 / 1 000 000|0.91|24621|Japan|25958|Validated|1745328[PMID]_24780148[PMID]_ORPHANET; 11219|23669|Point prevalence|23711|Value and class|23760|<1 / 1 000 000|0.07|25279|South Africa|25958|Validated|7825085[PMID]_24780148[PMID]_ORPHANET; 11214|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|1.59|24586|Ireland|25958|Validated|8845721[PMID]_24780148[PMID]
,,98896,13913,Duchenne muscular dystrophy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98896,15,Worldwide; United Kingdom; United States; Netherlands; Canada; United Kingdom; Puerto rico; Ireland; Italy; Ireland; Worldwide; Egypt; Japan; South Africa; Denmark,16647|23683|Prevalence at birth|23711|Value and class|23746|1-9 / 100 000|9.9|23844|Worldwide|25958|Validated|32503598[PMID]; 7709|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|4.14|25475|United Kingdom|25958|Validated|19767415[PMID]_24780148[PMID]_ORPHANET; 7712|23683|Prevalence at birth|23711|Value and class|23732|1-5 / 10 000|14.0|25482|United States|25958|Validated|12495984[PMID]; 7713|23683|Prevalence at birth|23711|Value and class|23732|1-5 / 10 000|12.0|24936|Netherlands|25958|Validated|1733827[PMID]; 7714|23683|Prevalence at birth|23711|Value and class|23732|1-5 / 10 000|10.5|24124|Canada|25958|Validated|20080524[PMID]; 7715|23683|Prevalence at birth|23711|Value and class|23746|1-9 / 100 000|9.7|25475|United Kingdom|25958|Validated|23340516[PMID]; 12370|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|2.59|25097|Puerto rico|25958|Validated|DOI:10.3233/JND-160147[OTHER]; 11206|23683|Prevalence at birth|23711|Value and class|23746|1-9 / 100 000|8.2|24586|Ireland|25958|Validated|8845721[PMID]_24780148[PMID]; 11207|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|1.7|24607|Italy|25958|Validated|10466417[PMID]_24780148[PMID]; 11208|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|4.26|24586|Ireland|25958|Validated|8845721[PMID]_24780148[PMID]; 11209|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|2.8|23844|Worldwide|25958|Validated|32503598[PMID]; 11210|23690|Lifetime Prevalence|23711|Value and class|23746|1-9 / 100 000|7.66|24299|Egypt|25958|Validated|16210862[PMID]_24780148[PMID]; 11211|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|3.56|24621|Japan|25958|Validated|1745328[PMID]_24780148[PMID]_ORPHANET; 11212|23669|Point prevalence|23711|Value and class|23739|1-9 / 1 000 000|0.47|25279|South Africa|25958|Validated|7825085[PMID]_24780148[PMID]_ORPHANET; 11213|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|2.75|24264|Denmark|25958|Validated|14678803[PMID]_24780148[PMID]_ORPHANET
,,98902,13919,Amish nemaline myopathy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98902,2,Europe; Specific population,7716|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23795|Europe|25965|Not yet validated|ORPHANET; 13977|23683|Prevalence at birth|23711|Value and class|23767|>1 / 1000|200.0|23851|Specific population|25958|Validated|10952871[PMID]
,,98890,13907,Early-onset X-linked optic atrophy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98890,2,Worldwide; Worldwide,7700|23697|Cases/families|23725|Family(ies)|||4.0|23844|Worldwide|25958|Validated|16969871[PMID]; 10646|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET_16969871[PMID]
,,98893,13910,Congenital muscular dystrophy type 1B,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98893,2,Worldwide; Worldwide,13302|23697|Cases/families|23718|Case(s)|||6.0|23844|Worldwide|25958|Validated|10677302[PMID]; 13303|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET_10677302[PMID]
,,98892,13909,Periventricular nodular heterotopia,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98892,1,Worldwide,7701|23669|Point prevalence|23704|Class only|23774|Unknown|0.0|23844|Worldwide|25965|Not yet validated|ORPHANET
,,98912,13929,"Late-onset distal myopathy, Markesbery-Griggs type",21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98912,2,Worldwide; Worldwide,12878|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET_15668942[PMID]; 12879|23697|Cases/families|23718|Case(s)|||11.0|23844|Worldwide|25958|Validated|15668942[PMID]
,,98911,13928,Distal myotilinopathy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98911,1,Europe,18144|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|3.9|23795|Europe|25958|Validated|ORPHANET
,,98916,13933,Acute inflammatory demyelinating polyradiculoneuropathy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98916,1,Europe,7720|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|3.1|23795|Europe|25958|Validated|[EXPERT]_European Medicines Agency[OTHER]
,,98908,13925,Neutral lipid storage disease with myopathy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98908,2,Worldwide; Worldwide,7718|23697|Cases/families|23718|Case(s)|||36.0|23844|Worldwide|25958|Validated|26600210[PMID]_28499397[PMID]; 7719|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET_26600210[PMID]_28499397[PMID]
,,98907,13924,Neutral lipid storage disease with ichthyosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98907,1,Europe,7717|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23795|Europe|25965|Not yet validated|ORPHANET
,,98909,13926,Desminopathy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98909,1,Worldwide,15425|23669|Point prevalence|23704|Class only|23774|Unknown|0.0|23844|Worldwide|25958|Validated|ORPHANET
,,98933,13950,"Multiple system atrophy, parkinsonian type",21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98933,1,Europe,7723|23669|Point prevalence|23711|Value and class|23746|1-9 / 100 000|2.4|23795|Europe|25965|Not yet validated|ORPHANET
,,98934,13951,Huntington disease-like 2,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98934,2,Worldwide; Worldwide,7724|23697|Cases/families|23725|Family(ies)|||50.0|23844|Worldwide|25958|Validated|20301701[PMID]_[EXPERT]; 7725|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET
,,98919,13936,Miller Fisher syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98919,2,Europe; Europe,7721|23676|Annual incidence|23711|Value and class|23739|1-9 / 1 000 000|0.1|23795|Europe|25958|Validated|[EXPERT]; 7722|23669|Point prevalence|23704|Class only|23739|1-9 / 1 000 000|0.0|23795|Europe|25965|Not yet validated|ORPHANET
,,98920,13937,Spinal muscular atrophy with respiratory distress type 1,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98920,2,Worldwide; Worldwide,12483|23697|Cases/families|23718|Case(s)|||128.0|23844|Worldwide|25958|Validated|26709713[PMID]; 12484|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET_26709713[PMID]
,,98922,13939,Blake pouch cyst,21415,Morphological anomaly,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98922,1,Worldwide,18446|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET
,,98938,13955,Isolated colobomatous microphthalmia,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98938,2,United Kingdom; United Kingdom,7726|23683|Prevalence at birth|23711|Value and class|23732|1-5 / 10 000|19.0|25475|United Kingdom|25958|Validated|11826019[PMID]; 17557|23669|Point prevalence|23711|Value and class|23732|1-5 / 10 000|19.0|25475|United Kingdom|25958|Validated|11826019[PMID]_ORPHANET
,,98949,13966,Complete cryptophthalmia,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98949,2,Worldwide; Worldwide,11629|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET_16352480[PMID]; 11630|23697|Cases/families|23718|Case(s)|||15.0|23844|Worldwide|25958|Validated|16352480[PMID]
,,98950,13967,Partial cryptophthalmia,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98950,1,Worldwide,11631|23669|Point prevalence|23704|Class only|23760|<1 / 1 000 000|0.0|23844|Worldwide|25958|Validated|ORPHANET_3099574[PMID]
