Availability,Licence,OrphaCode,DisorderId,DisorderName,DisorderTypeId,DisorderType,DisorderGroupId,DisorderGroup,ExpertLink,TypeOfInheritanceListCount,TypeOfInheritanceIds,TypeOfInheritance,TypeOfInheritancePairs,AverageAgeOfOnsetListCount,AverageAgeOfOnsetIds,AverageAgeOfOnset,AverageAgeOfOnsetPairs
,,166024,17601,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166024,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,166032,17603,Multiple epiphyseal dysplasia-miniepiphyses syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166032,0,,,,2,23529; 23522,Childhood; Infancy,23529|Childhood; 23522|Infancy
,,58,2,Alexander disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=58,1,23410,Autosomal dominant,23410|Autosomal dominant,1,23557,All ages,23557|All ages
,,166029,17602,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166029,0,,,,1,23529,Childhood,23529|Childhood
,,61,3,Alpha-mannosidosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61,1,23417,Autosomal recessive,23417|Autosomal recessive,3,23529; 23522; 23515,Childhood; Infancy; Neonatal,23529|Childhood; 23522|Infancy; 23515|Neonatal
,,166038,17605,"Metaphyseal chondrodysplasia, Kaitila type",21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166038,0,,,,1,23515,Neonatal,23515|Neonatal
,,93,5,Aspartylglucosaminuria,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=93,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23529,Childhood,23529|Childhood
,,166035,17604,Brachydactyly-short stature-retinitis pigmentosa syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166035,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23529; 23522,Childhood; Infancy,23529|Childhood; 23522|Infancy
,,585,6,Multiple sulfatase deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=585,1,23417,Autosomal recessive,23417|Autosomal recessive,5,23536; 23508; 23529; 23522; 23515,Adolescent; Antenatal; Childhood; Infancy; Neonatal,23536|Adolescent; 23508|Antenatal; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,118,7,Beta-mannosidosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=118,1,23417,Autosomal recessive,23417|Autosomal recessive,5,23536; 23543; 23529; 23522; 23515,Adolescent; Adult; Childhood; Infancy; Neonatal,23536|Adolescent; 23543|Adult; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,141,8,Canavan disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=141,1,23417,Autosomal recessive,23417|Autosomal recessive,3,23529; 23522; 23515,Childhood; Infancy; Neonatal,23529|Childhood; 23522|Infancy; 23515|Neonatal
,,166063,17608,Pontocerebellar hypoplasia type 4,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166063,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23508,Antenatal,23508|Antenatal
,,166078,17611,Von Willebrand disease type 1,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166078,1,23410,Autosomal dominant,23410|Autosomal dominant,1,23557,All ages,23557|All ages
,,166073,17610,Pontocerebellar hypoplasia type 6,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166073,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23515,Neonatal,23515|Neonatal
,,213,11,Cystinosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=213,1,23417,Autosomal recessive,23417|Autosomal recessive,4,23536; 23543; 23529; 23522,Adolescent; Adult; Childhood; Infancy,23536|Adolescent; 23543|Adult; 23529|Childhood; 23522|Infancy
,,166084,17613,Von Willebrand disease type 2A,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166084,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,0,,,
,,333,12,Farber disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=333,1,23417,Autosomal recessive,23417|Autosomal recessive,4,23508; 23529; 23522; 23515,Antenatal; Childhood; Infancy; Neonatal,23508|Antenatal; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,166081,17612,Von Willebrand disease type 2,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166081,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,1,23557,All ages,23557|All ages
,,349,13,Fucosidosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=349,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23529; 23522,Childhood; Infancy,23529|Childhood; 23522|Infancy
,,166090,17615,Von Willebrand disease type 2M,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166090,1,23410,Autosomal dominant,23410|Autosomal dominant,0,,,
,,365,14,Glycogen storage disease due to acid maltase deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=365,1,23417,Autosomal recessive,23417|Autosomal recessive,6,23536; 23543; 23508; 23529; 23522; 23515,Adolescent; Adult; Antenatal; Childhood; Infancy; Neonatal,23536|Adolescent; 23543|Adult; 23508|Antenatal; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,166087,17614,Von Willebrand disease type 2B,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166087,1,23410,Autosomal dominant,23410|Autosomal dominant,0,,,
,,366,15,Glycogen storage disease due to glycogen debranching enzyme deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=366,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23529; 23522,Childhood; Infancy,23529|Childhood; 23522|Infancy
,,166093,17616,Von Willebrand disease type 2N,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166093,1,23417,Autosomal recessive,23417|Autosomal recessive,0,,,
,,368,17,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=368,1,23417,Autosomal recessive,23417|Autosomal recessive,3,23536; 23543; 23529,Adolescent; Adult; Childhood,23536|Adolescent; 23543|Adult; 23529|Childhood
,,166096,17617,Von Willebrand disease type 3,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166096,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,367,16,Glycogen storage disease due to glycogen branching enzyme deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=367,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23557,All ages,23557|All ages
,,166100,17618,Autosomal dominant otospondylomegaepiphyseal dysplasia,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166100,1,23410,Autosomal dominant,23410|Autosomal dominant,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,371,19,Glycogen storage disease due to muscle phosphofructokinase deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=371,1,23417,Autosomal recessive,23417|Autosomal recessive,4,23536; 23543; 23529; 23522,Adolescent; Adult; Childhood; Infancy,23536|Adolescent; 23543|Adult; 23529|Childhood; 23522|Infancy
,,166105,17619,FASTKD2-related infantile mitochondrial encephalomyopathy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166105,1,23417,Autosomal recessive,23417|Autosomal recessive,3,23536; 23522; 23515,Adolescent; Infancy; Neonatal,23536|Adolescent; 23522|Infancy; 23515|Neonatal
,,369,18,Glycogen storage disease due to liver glycogen phosphorylase deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=369,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23529,Childhood,23529|Childhood
,,447,21,Paroxysmal nocturnal hemoglobinuria,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=447,1,23494,Not applicable,23494|Not applicable,1,23557,All ages,23557|All ages
,,166108,17620,Birk-Barel syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166108,1,23410,Autosomal dominant,23410|Autosomal dominant,1,23522,Infancy,23522|Infancy
,,166113,17621,Bazex syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166113,1,23494,Not applicable,23494|Not applicable,1,23543,Adult,23543|Adult
,,535,23,Rare cutaneous lupus erythematosus,21436,Clinical group,36540,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=535,1,23424,Multigenic/multifactorial,23424|Multigenic/multifactorial,1,23557,All ages,23557|All ages
,,166119,17622,Isolated osteopoikilosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166119,1,23410,Autosomal dominant,23410|Autosomal dominant,3,23536; 23543; 23529,Adolescent; Adult; Childhood,23536|Adolescent; 23543|Adult; 23529|Childhood
,,487,22,Krabbe disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=487,1,23417,Autosomal recessive,23417|Autosomal recessive,5,23536; 23543; 23529; 23522; 23515,Adolescent; Adult; Childhood; Infancy; Neonatal,23536|Adolescent; 23543|Adult; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,166260,17624,Dentinogenesis imperfecta type 2,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166260,1,23410,Autosomal dominant,23410|Autosomal dominant,1,23529,Childhood,23529|Childhood
,,583,24,Mucopolysaccharidosis type 6,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=583,1,23417,Autosomal recessive,23417|Autosomal recessive,4,23536; 23529; 23522; 23515,Adolescent; Childhood; Infancy; Neonatal,23536|Adolescent; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,166265,17625,Dentinogenesis imperfecta type 3,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166265,1,23410,Autosomal dominant,23410|Autosomal dominant,1,23529,Childhood,23529|Childhood
,,166272,17626,Odontochondrodysplasia,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166272,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,576,27,Mucolipidosis type II,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=576,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,166277,17627,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166277,1,23480,Unknown,23480|Unknown,1,23529,Childhood,23529|Childhood
,,812,26,Sialidosis type 1,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=812,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23536; 23529,Adolescent; Childhood,23536|Adolescent; 23529|Childhood
,,578,29,Mucolipidosis type IV,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=578,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23522,Infancy,23522|Infancy
,,166282,17628,Hereditary sick sinus syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166282,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,2,23543; 23550,Adult; Elderly,23543|Adult; 23550|Elderly
,,166286,17629,Porokeratotic eccrine ostial and dermal duct nevus,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166286,1,23494,Not applicable,23494|Not applicable,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,577,28,Mucolipidosis type III,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=577,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23529,Childhood,23529|Childhood
,,166291,17630,Dirofilariasis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166291,1,23494,Not applicable,23494|Not applicable,1,23557,All ages,23557|All ages
,,2912,32,Poliomyelitis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2912,1,23494,Not applicable,23494|Not applicable,1,23529,Childhood,23529|Childhood
,,796,38,Sandhoff disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=796,1,23417,Autosomal recessive,23417|Autosomal recessive,4,23536; 23543; 23529; 23522,Adolescent; Adult; Childhood; Infancy,23536|Adolescent; 23543|Adult; 23529|Childhood; 23522|Infancy
,,166409,17639,Photosensitive occipital lobe epilepsy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166409,0,,,,3,23536; 23543; 23529,Adolescent; Adult; Childhood,23536|Adolescent; 23543|Adult; 23529|Childhood
,,801,39,Scleroderma,21436,Clinical group,36540,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=801,1,23494,Not applicable,23494|Not applicable,1,23557,All ages,23557|All ages
,,461,42,Recessive X-linked ichthyosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=461,1,23431,X-linked recessive,23431|X-linked recessive,1,23515,Neonatal,23515|Neonatal
,,166421,17643,Orgasm-induced epilepsy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166421,0,,,,1,23543,Adult,23543|Adult
,,166418,17642,Eating reflex epilepsy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166418,0,,,,1,23557,All ages,23557|All ages
,,584,40,Mucopolysaccharidosis type 7,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=584,1,23417,Autosomal recessive,23417|Autosomal recessive,5,23536; 23508; 23529; 23522; 23515,Adolescent; Antenatal; Childhood; Infancy; Neonatal,23536|Adolescent; 23508|Antenatal; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,166412,17640,Hot water reflex epilepsy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166412,1,23410,Autosomal dominant,23410|Autosomal dominant,1,23557,All ages,23557|All ages
,,166433,17647,Epilepsy with reading-induced seizures,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166433,0,,,,2,23536; 23543,Adolescent; Adult,23536|Adolescent; 23543|Adult
,,881,44,Turner syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=881,2,23494; 23480,Not applicable; Unknown,23494|Not applicable; 23480|Unknown,4,23508; 23529; 23522; 23515,Antenatal; Childhood; Infancy; Neonatal,23508|Antenatal; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,95,45,Friedreich ataxia,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23536; 23529,Adolescent; Childhood,23536|Adolescent; 23529|Childhood
,,848,51,Beta-thalassemia,21436,Clinical group,36540,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=848,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,2,23529; 23522,Childhood; Infancy,23529|Childhood; 23522|Infancy
,,846,50,Alpha-thalassemia,21436,Clinical group,36540,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=846,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23557,All ages,23557|All ages
,,586,49,Cystic fibrosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=586,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23557,All ages,23557|All ages
,,262,55,Duchenne and Becker muscular dystrophy,21436,Clinical group,36540,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=262,1,23431,X-linked recessive,23431|X-linked recessive,3,23536; 23543; 23529,Adolescent; Adult; Childhood,23536|Adolescent; 23543|Adult; 23529|Childhood
,,261,59,Emery-Dreifuss muscular dystrophy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=261,3,23410; 23417; 23431,Autosomal dominant; Autosomal recessive; X-linked recessive,23410|Autosomal dominant; 23417|Autosomal recessive; 23431|X-linked recessive,1,23529,Childhood,23529|Childhood
,,550,63,MELAS,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=550,2,23438; 23494,Mitochondrial inheritance; Not applicable,23438|Mitochondrial inheritance; 23494|Not applicable,3,23536; 23543; 23529,Adolescent; Adult; Childhood,23536|Adolescent; 23543|Adult; 23529|Childhood
,,269,62,Facioscapulohumeral dystrophy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=269,1,23410,Autosomal dominant,23410|Autosomal dominant,1,23557,All ages,23557|All ages
,,480,61,Kearns-Sayre syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=480,3,23417; 23438; 23494,Autosomal recessive; Mitochondrial inheritance; Not applicable,23417|Autosomal recessive; 23438|Mitochondrial inheritance; 23494|Not applicable,4,23536; 23543; 23529; 23522,Adolescent; Adult; Childhood; Infancy,23536|Adolescent; 23543|Adult; 23529|Childhood; 23522|Infancy
,,593,68,Myofibrillar myopathy,36561,Category,36540,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=593,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,1,23543,Adult,23543|Adult
,,551,64,MERRF,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=551,1,23438,Mitochondrial inheritance,23438|Mitochondrial inheritance,2,23543; 23529,Adult; Childhood,23543|Adult; 23529|Childhood
,,597,65,Central core disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=597,1,23410,Autosomal dominant,23410|Autosomal dominant,1,23529,Childhood,23529|Childhood
,,607,66,Nemaline myopathy,21436,Clinical group,36540,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=607,3,23410; 23417; 23494,Autosomal dominant; Autosomal recessive; Not applicable,23410|Autosomal dominant; 23417|Autosomal recessive; 23494|Not applicable,1,23557,All ages,23557|All ages
,,163746,17538,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163746,1,23410,Autosomal dominant,23410|Autosomal dominant,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,684,76,Paramyotonia congenita of Von Eulenburg,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=684,1,23410,Autosomal dominant,23410|Autosomal dominant,4,23536; 23529; 23522; 23515,Adolescent; Childhood; Infancy; Neonatal,23536|Adolescent; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,163931,17549,Acrodermatitis continua of Hallopeau,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163931,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23543,Adult,23543|Adult
,,273,77,Steinert myotonic dystrophy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=273,1,23410,Autosomal dominant,23410|Autosomal dominant,6,23536; 23543; 23508; 23529; 23522; 23515,Adolescent; Adult; Antenatal; Childhood; Infancy; Neonatal,23536|Adolescent; 23543|Adult; 23508|Antenatal; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,163927,17548,Pustulosis palmaris et plantaris,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163927,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,0,,,
,,163937,17551,"X-linked intellectual disability, Najm type",21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163937,1,23445,X-linked dominant,23445|X-linked dominant,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,163934,17550,Atopic keratoconjunctivitis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163934,1,23494,Not applicable,23494|Not applicable,1,23557,All ages,23557|All ages
,,614,75,Thomsen and Becker disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=614,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,4,23536; 23543; 23529; 23522,Adolescent; Adult; Childhood; Infancy,23536|Adolescent; 23543|Adult; 23529|Childhood; 23522|Infancy
,,163921,17546,Posttransplant acute limbic encephalitis,21429,Particular clinical situation in a disease or syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163921,0,,,,1,23557,All ages,23557|All ages
,,163966,17556,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163966,1,23445,X-linked dominant,23445|X-linked dominant,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,163971,17557,"X-linked intellectual disability, Cilliers type",21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163971,1,23431,X-linked recessive,23431|X-linked recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,163976,17558,"X-linked intellectual disability, Van Esch type",21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163976,1,23431,X-linked recessive,23431|X-linked recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,163979,17559,X-linked intellectual disability-craniofacioskeletal syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163979,1,23480,Unknown,23480|Unknown,3,23508; 23522; 23515,Antenatal; Infancy; Neonatal,23508|Antenatal; 23522|Infancy; 23515|Neonatal
,,163956,17554,"X-linked intellectual disability, Nascimento type",21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163956,1,23431,X-linked recessive,23431|X-linked recessive,1,23522,Infancy,23522|Infancy
,,163961,17555,X-linked cerebral-cerebellar-coloboma syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163961,1,23431,X-linked recessive,23431|X-linked recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,324,94,Fabry disease,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324,2,23445; 23431,X-linked dominant; X-linked recessive,23445|X-linked dominant; 23431|X-linked recessive,3,23536; 23543; 23529,Adolescent; Adult; Childhood,23536|Adolescent; 23543|Adult; 23529|Childhood
,,164726,17567,Acute myeloid leukemia and myelodysplastic syndromes related to radiation,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=164726,0,,,,2,23543; 23550,Adult; Elderly,23543|Adult; 23550|Elderly
,,163985,17561,Hyperekplexia-epilepsy syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163985,1,23431,X-linked recessive,23431|X-linked recessive,1,23515,Neonatal,23515|Neonatal
,,778,91,Rett syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=778,1,23445,X-linked dominant,23445|X-linked dominant,1,23522,Infancy,23522|Infancy
,,72,90,Angelman syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=72,1,23494,Not applicable,23494|Not applicable,1,23522,Infancy,23522|Infancy
,,307,102,Juvenile myoclonic epilepsy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=307,1,23424,Multigenic/multifactorial,23424|Multigenic/multifactorial,2,23536; 23529,Adolescent; Childhood,23536|Adolescent; 23529|Childhood
,,1941,101,Juvenile absence epilepsy,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1941,2,23424; 23480,Multigenic/multifactorial; Unknown,23424|Multigenic/multifactorial; 23480|Unknown,1,23536,Adolescent,23536|Adolescent
