Availability,Licence,OrphaCode,DisorderId,DisorderName,DisorderTypeId,DisorderType,DisorderGroupId,DisorderGroup,ExpertLink,TypeOfInheritanceListCount,TypeOfInheritanceIds,TypeOfInheritance,TypeOfInheritancePairs,AverageAgeOfOnsetListCount,AverageAgeOfOnsetIds,AverageAgeOfOnset,AverageAgeOfOnsetPairs
,,295197,21044,Synpolydactyly type 2,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=295197,1,23410,Autosomal dominant,23410|Autosomal dominant,0,,,
,,295239,21064,"Macrodactyly of fingers, unilateral",21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=295239,1,23410,Autosomal dominant,23410|Autosomal dominant,0,,,
,,295243,21066,"Macrodactyly of toes, unilateral",21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=295243,1,23410,Autosomal dominant,23410|Autosomal dominant,0,,,
,,298644,21080,Disorder of thiamine metabolism and transport,36561,Category,36540,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=298644,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,300179,21100,Kyphoscoliotic Ehlers-Danlos syndrome due to FKBP22 deficiency,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=300179,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,300319,21110,Charcot-Marie-Tooth disease type 2P,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=300319,2,23410; 23417,Autosomal dominant; Autosomal recessive,23410|Autosomal dominant; 23417|Autosomal recessive,2,23536; 23543,Adolescent; Adult,23536|Adolescent; 23543|Adult
,,300324,21111,Persistent polyclonal B-cell lymphocytosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=300324,1,23424,Multigenic/multifactorial,23424|Multigenic/multifactorial,1,23564,No data available,23564|No data available
,,300313,21109,Congenital cataract-hearing loss-severe developmental delay syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=300313,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,300298,21106,Severe congenital hypochromic anemia with ringed sideroblasts,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=300298,1,23480,Unknown,23480|Unknown,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,300305,21107,11p15.4 microduplication syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=300305,1,23410,Autosomal dominant,23410|Autosomal dominant,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,300284,21104,Connective tissue disorder due to lysyl hydroxylase-3 deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=300284,1,23494,Not applicable,23494|Not applicable,2,23508; 23515,Antenatal; Neonatal,23508|Antenatal; 23515|Neonatal
,,300293,21105,Transient infantile hypertriglyceridemia and hepatosteatosis,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=300293,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,300385,21118,Pituitary carcinoma,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=300385,1,23480,Unknown,23480|Unknown,1,23557,All ages,23557|All ages
,,300493,21119,Sagliker syndrome,21429,Particular clinical situation in a disease or syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=300493,1,23424,Multigenic/multifactorial,23424|Multigenic/multifactorial,1,23557,All ages,23557|All ages
,,300373,21116,X-linked acrogigantism,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=300373,1,23445,X-linked dominant,23445|X-linked dominant,3,23529; 23522; 23515,Childhood; Infancy; Neonatal,23529|Childhood; 23522|Infancy; 23515|Neonatal
