OrphaCode,DisorderName,DisorderType,ExpertLink,IsLeaf,OrphaCodePath,ClassificationPath,ClassificationTypes,ClassificationDepth
98006,Rare neurologic disease,Category,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98006,0,98006,Rare neurologic disease,Category,1
98496,Rare peripheral neuropathy,Category,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98496,0,98006 > 98496,Rare neurologic disease > Rare peripheral neuropathy,Category > Category,2
98497,Genetic peripheral neuropathy,Category,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98497,0,98006 > 98496 > 98497,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy,Category > Category > Category,3
166,Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,Category,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166,0,98006 > 98496 > 98497 > 166,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,Category > Category > Category > Category,4
2926,Digital extensor muscle aplasia-polyneuropathy,Malformation syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2926,1,98006 > 98496 > 98497 > 166 > 2926,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Digital extensor muscle aplasia-polyneuropathy,Category > Category > Category > Category > Malformation syndrome,5
64747,X-linked Charcot-Marie-Tooth disease,Clinical group,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=64747,0,98006 > 98496 > 98497 > 166 > 64747,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > X-linked Charcot-Marie-Tooth disease,Category > Category > Category > Category > Clinical group,5
99014,X-linked Charcot-Marie-Tooth disease type 5,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=99014,1,98006 > 98496 > 98497 > 166 > 64747 > 99014,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > X-linked Charcot-Marie-Tooth disease > X-linked Charcot-Marie-Tooth disease type 5,Category > Category > Category > Category > Clinical group > Disease,6
101075,X-linked Charcot-Marie-Tooth disease type 1,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=101075,1,98006 > 98496 > 98497 > 166 > 64747 > 101075,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > X-linked Charcot-Marie-Tooth disease > X-linked Charcot-Marie-Tooth disease type 1,Category > Category > Category > Category > Clinical group > Disease,6
101076,X-linked Charcot-Marie-Tooth disease type 2,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=101076,1,98006 > 98496 > 98497 > 166 > 64747 > 101076,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > X-linked Charcot-Marie-Tooth disease > X-linked Charcot-Marie-Tooth disease type 2,Category > Category > Category > Category > Clinical group > Disease,6
101077,X-linked Charcot-Marie-Tooth disease type 3,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=101077,1,98006 > 98496 > 98497 > 166 > 64747 > 101077,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > X-linked Charcot-Marie-Tooth disease > X-linked Charcot-Marie-Tooth disease type 3,Category > Category > Category > Category > Clinical group > Disease,6
101078,X-linked Charcot-Marie-Tooth disease type 4,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=101078,1,98006 > 98496 > 98497 > 166 > 64747 > 101078,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > X-linked Charcot-Marie-Tooth disease > X-linked Charcot-Marie-Tooth disease type 4,Category > Category > Category > Category > Clinical group > Disease,6
352675,X-linked Charcot-Marie-Tooth disease type 6,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=352675,1,98006 > 98496 > 98497 > 166 > 64747 > 352675,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > X-linked Charcot-Marie-Tooth disease > X-linked Charcot-Marie-Tooth disease type 6,Category > Category > Category > Category > Clinical group > Disease,6
431320,Spastic paraplegia-optic atrophy-neuropathy and spastic paraplegia-optic atrophy-neuropathy-related disorder,Clinical group,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=431320,0,98006 > 98496 > 98497 > 166 > 431320,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Spastic paraplegia-optic atrophy-neuropathy and spastic paraplegia-optic atrophy-neuropathy-related disorder,Category > Category > Category > Category > Clinical group,5
320375,Autosomal recessive spastic paraplegia type 55,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=320375,1,98006 > 98496 > 98497 > 166 > 431320 > 320375,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Spastic paraplegia-optic atrophy-neuropathy and spastic paraplegia-optic atrophy-neuropathy-related disorder > Autosomal recessive spastic paraplegia type 55,Category > Category > Category > Category > Clinical group > Disease,6
320406,Spastic paraplegia-optic atrophy-neuropathy syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=320406,1,98006 > 98496 > 98497 > 166 > 431320 > 320406,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Spastic paraplegia-optic atrophy-neuropathy and spastic paraplegia-optic atrophy-neuropathy-related disorder > Spastic paraplegia-optic atrophy-neuropathy syndrome,Category > Category > Category > Category > Clinical group > Disease,6
431329,Autosomal recessive spastic paraplegia type 57,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=431329,1,98006 > 98496 > 98497 > 166 > 431320 > 431329,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Spastic paraplegia-optic atrophy-neuropathy and spastic paraplegia-optic atrophy-neuropathy-related disorder > Autosomal recessive spastic paraplegia type 57,Category > Category > Category > Category > Clinical group > Disease,6
468661,Autosomal recessive spastic paraplegia type 74,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=468661,1,98006 > 98496 > 98497 > 166 > 431320 > 468661,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Spastic paraplegia-optic atrophy-neuropathy and spastic paraplegia-optic atrophy-neuropathy-related disorder > Autosomal recessive spastic paraplegia type 74,Category > Category > Category > Category > Clinical group > Disease,6
476109,Axonal hereditary motor and sensory neuropathy,Clinical group,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=476109,0,98006 > 98496 > 98497 > 166 > 476109,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy,Category > Category > Category > Category > Clinical group,5
91024,Autosomal recessive axonal hereditary motor and sensory neuropathy,Clinical group,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=91024,0,98006 > 98496 > 98497 > 166 > 476109 > 91024,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy,Category > Category > Category > Category > Clinical group > Clinical group,6
90118,Severe early-onset axonal neuropathy due to MFN2 deficiency,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=90118,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 90118,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Severe early-onset axonal neuropathy due to MFN2 deficiency,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
90119,Hereditary motor and sensory neuropathy with acrodystrophy,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=90119,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 90119,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Hereditary motor and sensory neuropathy with acrodystrophy,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
90120,Hereditary motor and sensory neuropathy type 6,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=90120,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 90120,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Hereditary motor and sensory neuropathy type 6,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
98856,Charcot-Marie-Tooth disease type 2B1,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98856,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 98856,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Charcot-Marie-Tooth disease type 2B1,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
101097,Autosomal recessive Charcot-Marie-Tooth disease with hoarseness,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=101097,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 101097,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Autosomal recessive Charcot-Marie-Tooth disease with hoarseness,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
101101,Charcot-Marie-Tooth disease type 2B2,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=101101,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 101101,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Charcot-Marie-Tooth disease type 2B2,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
101102,Charcot-Marie-Tooth disease type 2H,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=101102,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 101102,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Charcot-Marie-Tooth disease type 2H,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
228374,Charcot-Marie-Tooth disease type 2B5,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=228374,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 228374,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Charcot-Marie-Tooth disease type 2B5,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
300319,Charcot-Marie-Tooth disease type 2P,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=300319,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 300319,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Charcot-Marie-Tooth disease type 2P,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
324442,Autosomal recessive axonal neuropathy with neuromyotonia,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324442,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 324442,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal neuropathy with neuromyotonia,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
397968,Charcot-Marie-Tooth disease type 2R,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=397968,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 397968,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Charcot-Marie-Tooth disease type 2R,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
423894,Microcephaly-complex motor and sensory axonal neuropathy syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=423894,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 423894,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Microcephaly-complex motor and sensory axonal neuropathy syndrome,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
443073,Charcot-Marie-Tooth disease type 2S,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=443073,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 443073,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Charcot-Marie-Tooth disease type 2S,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
443950,DNAJB2-related Charcot-Marie-Tooth disease type 2,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=443950,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 443950,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > DNAJB2-related Charcot-Marie-Tooth disease type 2,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
457205,Infantile-onset axonal motor and sensory neuropathy-optic atrophy-neurodegenerative syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=457205,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 457205,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Infantile-onset axonal motor and sensory neuropathy-optic atrophy-neurodegenerative syndrome,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
466775,Autosomal recessive Charcot-Marie-Tooth disease type 2X,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=466775,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 466775,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Autosomal recessive Charcot-Marie-Tooth disease type 2X,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
466794,Acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=466794,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 466794,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
495274,Charcot-Marie-Tooth disease type 2T,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=495274,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 495274,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Charcot-Marie-Tooth disease type 2T,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
521411,Autosomal recessive axonal Charcot-Marie-Tooth disease due to copper metabolism defect,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=521411,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 521411,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal Charcot-Marie-Tooth disease due to copper metabolism defect,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
538096,Autosomal recessive lethal neonatal axonal sensorimotor polyneuropathy,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=538096,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 538096,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Autosomal recessive lethal neonatal axonal sensorimotor polyneuropathy,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
538101,Congenital axonal neuropathy with encephalopathy,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=538101,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 538101,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Congenital axonal neuropathy with encephalopathy,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
700508,Distal muscle weakness-foot deformity-elevated sorbitol level-hereditary motor neuropathy,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=700508,1,98006 > 98496 > 98497 > 166 > 476109 > 91024 > 700508,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal recessive axonal hereditary motor and sensory neuropathy > Distal muscle weakness-foot deformity-elevated sorbitol level-hereditary motor neuropathy,Category > Category > Category > Category > Clinical group > Clinical group > Disease,7
140456,Autosomal dominant hereditary axonal motor and sensory neuropathy,Category,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=140456,0,98006 > 98496 > 98497 > 166 > 476109 > 140456,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal dominant hereditary axonal motor and sensory neuropathy,Category > Category > Category > Category > Clinical group > Category,6
1215,Autosomal dominant optic atrophy plus syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1215,1,98006 > 98496 > 98497 > 166 > 476109 > 140456 > 1215,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal dominant hereditary axonal motor and sensory neuropathy > Autosomal dominant optic atrophy plus syndrome,Category > Category > Category > Category > Clinical group > Category > Disease,7
64746,Autosomal dominant Charcot-Marie-Tooth disease type 2,Clinical group,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=64746,0,98006 > 98496 > 98497 > 166 > 476109 > 140456 > 64746,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal dominant hereditary axonal motor and sensory neuropathy > Autosomal dominant Charcot-Marie-Tooth disease type 2,Category > Category > Category > Category > Clinical group > Category > Clinical group,7
99936,Autosomal dominant Charcot-Marie-Tooth disease type 2B,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=99936,1,98006 > 98496 > 98497 > 166 > 476109 > 140456 > 64746 > 99936,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal dominant hereditary axonal motor and sensory neuropathy > Autosomal dominant Charcot-Marie-Tooth disease type 2 > Autosomal dominant Charcot-Marie-Tooth disease type 2B,Category > Category > Category > Category > Clinical group > Category > Clinical group > Disease,8
99937,Autosomal dominant Charcot-Marie-Tooth disease type 2C,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=99937,1,98006 > 98496 > 98497 > 166 > 476109 > 140456 > 64746 > 99937,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal dominant hereditary axonal motor and sensory neuropathy > Autosomal dominant Charcot-Marie-Tooth disease type 2 > Autosomal dominant Charcot-Marie-Tooth disease type 2C,Category > Category > Category > Category > Clinical group > Category > Clinical group > Disease,8
99938,Autosomal dominant Charcot-Marie-Tooth disease type 2D,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=99938,1,98006 > 98496 > 98497 > 166 > 476109 > 140456 > 64746 > 99938,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal dominant hereditary axonal motor and sensory neuropathy > Autosomal dominant Charcot-Marie-Tooth disease type 2 > Autosomal dominant Charcot-Marie-Tooth disease type 2D,Category > Category > Category > Category > Clinical group > Category > Clinical group > Disease,8
99939,Autosomal dominant Charcot-Marie-Tooth disease type 2E,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=99939,1,98006 > 98496 > 98497 > 166 > 476109 > 140456 > 64746 > 99939,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal dominant hereditary axonal motor and sensory neuropathy > Autosomal dominant Charcot-Marie-Tooth disease type 2 > Autosomal dominant Charcot-Marie-Tooth disease type 2E,Category > Category > Category > Category > Clinical group > Category > Clinical group > Disease,8
99940,Autosomal dominant Charcot-Marie-Tooth disease type 2F,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=99940,1,98006 > 98496 > 98497 > 166 > 476109 > 140456 > 64746 > 99940,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal dominant hereditary axonal motor and sensory neuropathy > Autosomal dominant Charcot-Marie-Tooth disease type 2 > Autosomal dominant Charcot-Marie-Tooth disease type 2F,Category > Category > Category > Category > Clinical group > Category > Clinical group > Disease,8
99942,Autosomal dominant Charcot-Marie-Tooth disease type 2I,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=99942,1,98006 > 98496 > 98497 > 166 > 476109 > 140456 > 64746 > 99942,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal dominant hereditary axonal motor and sensory neuropathy > Autosomal dominant Charcot-Marie-Tooth disease type 2 > Autosomal dominant Charcot-Marie-Tooth disease type 2I,Category > Category > Category > Category > Clinical group > Category > Clinical group > Disease,8
99943,Autosomal dominant Charcot-Marie-Tooth disease type 2J,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=99943,1,98006 > 98496 > 98497 > 166 > 476109 > 140456 > 64746 > 99943,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal dominant hereditary axonal motor and sensory neuropathy > Autosomal dominant Charcot-Marie-Tooth disease type 2 > Autosomal dominant Charcot-Marie-Tooth disease type 2J,Category > Category > Category > Category > Clinical group > Category > Clinical group > Disease,8
99944,Autosomal dominant Charcot-Marie-Tooth disease type 2K,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=99944,1,98006 > 98496 > 98497 > 166 > 476109 > 140456 > 64746 > 99944,Rare neurologic disease > Rare peripheral neuropathy > Genetic peripheral neuropathy > Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy > Axonal hereditary motor and sensory neuropathy > Autosomal dominant hereditary axonal motor and sensory neuropathy > Autosomal dominant Charcot-Marie-Tooth disease type 2 > Autosomal dominant Charcot-Marie-Tooth disease type 2K,Category > Category > Category > Category > Clinical group > Category > Clinical group > Disease,8
