OrphaCode,DisorderName,DisorderType,ExpertLink,IsLeaf,OrphaCodePath,ClassificationPath,ClassificationTypes,ClassificationDepth
97345,ABri amyloidosis,Clinical subtype,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=97345,1,98006 > 182070 > 98534 > 439254 > 97345,Rare neurologic disease > Rare neurodegenerative disease > Neurodegenerative disease with dementia > ITM2B amyloidosis > ABri amyloidosis,Category > Category > Category > Disease > Clinical subtype,5
97346,ADan amyloidosis,Clinical subtype,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=97346,1,98006 > 182070 > 98534 > 439254 > 97346,Rare neurologic disease > Rare neurodegenerative disease > Neurodegenerative disease with dementia > ITM2B amyloidosis > ADan amyloidosis,Category > Category > Category > Disease > Clinical subtype,5
456318,Hereditary sensory neuropathy-deafness-dementia syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=456318,1,98006 > 182070 > 98534 > 456318,Rare neurologic disease > Rare neurodegenerative disease > Neurodegenerative disease with dementia > Hereditary sensory neuropathy-deafness-dementia syndrome,Category > Category > Category > Disease,4
157946,Huntington disease-like 3,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=157946,1,98006 > 182070 > 157946,Rare neurologic disease > Rare neurodegenerative disease > Huntington disease-like 3,Category > Category > Disease,3
217382,Neurodegenerative syndrome due to cerebral folate transport deficiency,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=217382,1,98006 > 182070 > 217382,Rare neurologic disease > Rare neurodegenerative disease > Neurodegenerative syndrome due to cerebral folate transport deficiency,Category > Category > Disease,3
221074,Marchiafava-Bignami disease,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=221074,1,98006 > 182070 > 221074,Rare neurologic disease > Rare neurodegenerative disease > Marchiafava-Bignami disease,Category > Category > Disease,3
309152,GM2 gangliosidosis,Clinical group,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=309152,0,98006 > 182070 > 309152,Rare neurologic disease > Rare neurodegenerative disease > GM2 gangliosidosis,Category > Category > Clinical group,3
796,Sandhoff disease,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=796,0,98006 > 182070 > 309152 > 796,Rare neurologic disease > Rare neurodegenerative disease > GM2 gangliosidosis > Sandhoff disease,Category > Category > Clinical group > Disease,4
309155,"Sandhoff disease, infantile form",Clinical subtype,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=309155,1,98006 > 182070 > 309152 > 796 > 309155,"Rare neurologic disease > Rare neurodegenerative disease > GM2 gangliosidosis > Sandhoff disease > Sandhoff disease, infantile form",Category > Category > Clinical group > Disease > Clinical subtype,5
309162,"Sandhoff disease, juvenile form",Clinical subtype,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=309162,1,98006 > 182070 > 309152 > 796 > 309162,"Rare neurologic disease > Rare neurodegenerative disease > GM2 gangliosidosis > Sandhoff disease > Sandhoff disease, juvenile form",Category > Category > Clinical group > Disease > Clinical subtype,5
